Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
TENM3,0,0,0,0,14,3,0,0,0,17,15,15
ZFHX3,2,1,0,0,9,5,0,0,0,17,15,15
ZNF462,1,0,0,0,15,1,0,0,0,17,15,15
ABCA9,2,0,0,0,14,0,0,0,0,16,15,15
ABCC9,1,1,0,0,13,0,0,1,0,16,15,15
AKAP6,0,0,0,0,16,0,0,0,0,16,15,15
CDC42BPA,0,0,1,0,12,3,0,0,0,16,15,15
CNTLN,1,0,0,0,13,1,0,1,0,16,15,15
COL7A1,1,0,0,0,13,1,0,1,0,16,15,15
DOCK4,1,1,0,0,13,1,0,0,0,16,15,15
EP300,2,2,0,0,8,4,0,0,0,16,15,15
FLNA,1,0,0,0,15,0,0,0,0,16,15,15
KDM5B,0,0,0,0,14,2,0,0,0,16,15,15
MAGI1,0,0,0,0,15,1,0,0,0,16,15,15
MIA3,1,0,0,0,12,1,0,2,0,16,15,15
MYH1,0,0,0,0,14,2,0,0,0,16,15,15
MYLK,1,0,0,0,12,3,0,0,0,16,15,15
NBAS,0,0,0,0,13,2,0,1,0,16,15,15
NRK,2,0,0,0,13,1,0,0,0,16,15,15
PXDNL,2,0,0,0,10,4,0,0,0,16,15,15
RNF213,1,0,0,0,14,1,0,0,0,16,15,15
RTL9,0,0,0,0,16,0,0,0,0,16,15,15
SCN11A,0,0,0,0,15,1,0,0,0,16,15,15
WDR44,0,0,0,0,12,2,0,2,0,16,15,15
ZNF208,1,0,0,0,14,1,0,0,0,16,15,15
ANK1,0,0,0,0,13,2,0,0,0,15,15,15
ARHGAP31,1,0,0,0,14,0,0,0,0,15,15,15
CASP8,0,0,0,0,11,4,0,0,0,15,15,15
CFH,0,0,0,0,14,1,0,0,0,15,15,15
CRNKL1,0,0,0,0,12,3,0,0,0,15,15,15
EML5,2,0,0,0,11,2,0,0,0,15,15,15
FN1,1,0,0,0,12,1,0,1,0,15,15,15
H3C2,1,0,0,0,12,2,0,0,0,15,15,15
IREB2,0,0,0,0,15,0,0,0,0,15,15,15
MED23,3,0,0,0,6,5,0,1,0,15,15,15
MYO7A,0,0,0,0,13,2,0,0,0,15,15,15
PLXNA4,0,0,0,0,15,0,0,0,0,15,15,15
PRDM10,1,0,0,0,14,0,0,0,0,15,15,15
SCN3A,0,0,1,0,12,2,0,0,0,15,15,15
SF3B1,0,0,0,0,14,1,0,0,0,15,15,15
SHANK1,0,0,1,0,13,1,0,0,0,15,15,15
SPATA31D1,0,0,0,0,15,0,0,0,0,15,15,15
STAG2,0,0,0,0,12,3,0,0,0,15,15,15
TEP1,0,0,0,0,11,4,0,0,0,15,15,15
WDR17,0,1,0,0,13,0,0,1,0,15,15,15
APC,2,0,0,0,20,2,0,0,0,24,14,14
MED13,0,0,1,0,16,3,0,1,0,21,14,14
MYO3A,0,1,1,0,16,0,0,2,0,20,14,14
HIVEP3,1,0,0,0,17,0,0,0,0,18,14,14
SZT2,3,0,0,0,13,1,0,1,0,18,14,14
